country;continent;year;lifeExp;pop;gdpPercap
Australia;Oceania;1993;78,10000;17688687;24053,1010200
Australia;Oceania;1994;78,10000;17892557;24780,1724100
Australia;Oceania;1995;78,49000;18116171;25518,7154400
Australia;Oceania;1996;78,56000;18348078;26151,1324700
Australia;Oceania;1997;78,83000;18565243;26997,9365700
Australia;Oceania;1998;79,33000;18768789;28169,1534100
Australia;Oceania;1999;79,58000;18968247;28983,2672000
Australia;Oceania;2000;79,99000;19164620;29241,5145000
Australia;Oceania;2001;80,35000;19357594;30043,2427700
Australia;Oceania;2002;80,37000;19546792;30687,7547300
Australia;Oceania;2003;80,78000;19731984;31634,2424300
Australia;Oceania;2004;81,15000;19913144;32098,5061500
Australia;Oceania;2007;81,23500;20434176;34435,3674400
Austria;Europe;1950;64,88000;6935100;5733,0981140
Austria;Europe;1951;65,26000;6935451;6124,9282820
Austria;Europe;1952;66,80000;6927772;6137,0764920
Austria;Europe;1953;67,29000;6932483;6399,7869480
Austria;Europe;1954;67,32000;6940209;7045,9712740
Austria;Europe;1955;67,60000;6946885;7817,2508880
Austria;Europe;1956;67,72000;6952359;8348,4494650
Austria;Europe;1957;67,48000;6965860;8842,5980300
Austria;Europe;1958;68,49000;6987358;9137,2961780
Austria;Europe;1959;68,42000;7014331;9360,8538470
Austria;Europe;1960;68,78000;7047437;10083,8300500
Austria;Europe;1961;69,75000;7086299;10560,9654000
Austria;Europe;1962;69,54000;7129864;10750,7211100
Austria;Europe;1963;69,67000;7175811;11116,7043900
Austria;Europe;1964;70,16000;7223801;11705,6336200
Austria;Europe;1965;69,95000;7270889;11964,2821000
Austria;Europe;1966;70,26000;7322066;12549,3339700
Austria;Europe;1967;70,14000;7376998;12834,6024000
Austria;Europe;1968;70,29000;7415403;13335,5570300
Austria;Europe;1969;70,06000;7441055;14125,3159600
Austria;Europe;1970;70,11000;7467086;15078,7699600
Austria;Europe;1971;70,31000;7500482;15779,0737400
Austria;Europe;1972;70,63000;7544201;16661,6256000
Austria;Europe;1973;71,21000;7586115;17379,3273000
Austria;Europe;1974;71,20000;7599038;18033,9750000
Austria;Europe;1975;71,33000;7578903;18016,3661700
Austria;Europe;1976;71,82000;7565525;18874,2954300
Austria;Europe;1977;72,17000;7568430;19749,4223000
Austria;Europe;1978;72,25000;7562305;19693,6175100
Austria;Europe;1979;72,56000;7549425;20803,3993400
Austria;Europe;1980;72,70000;7549433;21284,7083300
Austria;Europe;1981;73,02000;7564629;21220,8879000
Austria;Europe;1982;73,18000;7574613;21597,0836200
Austria;Europe;1983;73,25000;7552896;22266,6633400
Austria;Europe;1984;73,79000;7554132;22336,9462000
Austria;Europe;1985;74,01000;7559776;22821,2005400
Austria;Europe;1986;74,49000;7568242;23329,1553600
Austria;Europe;1987;74,94000;7578903;23687,8260700
Austria;Europe;1988;75,41000;7599791;24371,1776900
Austria;Europe;1989;75,50000;7627861;25307,8747900
Austria;Europe;1990;75,77000;7722953;26134,9952100
Austria;Europe;1991;75,83000;7818423;26744,3966900
Austria;Europe;1992;76,04000;7914969;27042,0186800
Austria;Europe;1993;76,27000;7988599;26882,0440600
Austria;Europe;1994;76,60000;8027540;27463,4786300
Austria;Europe;1995;76,84000;8047433;27918,8194800
Austria;Europe;1996;77,10000;8060852;28602,3525400
Austria;Europe;1997;77,51000;8069876;29095,9206600
Austria;Europe;1998;77,88000;8078622;30107,9783800
Austria;Europe;1999;78,06000;8094156;31039,6187700
Austria;Europe;2000;78,35000;8113413;32008,5046600
Austria;Europe;2001;78,85000;8131690;32196,4248800
Austria;Europe;2002;78,98000;8148312;32417,6076900
Austria;Europe;2003;78,98000;8162656;32741,1873700
Austria;Europe;2004;79,49000;8174762;33455,6940300
Austria;Europe;2005;79,66000;8184691;34108,0000000
Austria;Europe;2007;79,82900;8199783;36126,4927000
Azerbaijan;Asia;1992;65,62300;7413618;3455,5429690
Azerbaijan;Asia;1997;66,32800;7695123;1943,2850940
Azerbaijan;Asia;2002;66,84400;7798497;3059,1799270
Azerbaijan;Asia;2007;67,48700;8017309;7708,6111900
Bahamas;Americas;1962;64,20900;122902;15117,5150500
Bahamas;Americas;1967;65,79500;151120;19318,1061000
Bahamas;Americas;1972;66,51500;178332;18152,4376300
Bahamas;Americas;1977;67,19900;197499;14380,6660300
Bahamas;Americas;1982;67,87400;219682;20433,0368000
Bahamas;Americas;1987;69,52400;244042;22438,0135300
Bahamas;Americas;1992;69,17100;264085;19432,5693100
Bahamas;Americas;1997;68,47200;281577;20990,8324700
Bahamas;Americas;2002;71,06800;295131;22810,9612600
Bahamas;Americas;2007;73,49500;305655;23948,6375100
Bahrain;Asia;1952;50,93900;120447;9867,0847650
Bahrain;Asia;1957;53,83200;138655;11635,7994500
Bahrain;Asia;1962;56,92300;171863;12753,2751400
Bahrain;Asia;1967;59,92300;202182;14804,6727000
Bahrain;Asia;1972;63,30000;230800;18268,6583900
Bahrain;Asia;1977;65,59300;297410;19340,1019600
Bahrain;Asia;1982;69,05200;377967;19211,1473100
Bahrain;Asia;1987;70,75000;454612;18524,0240600
Bahrain;Asia;1992;72,60100;529491;19035,5791700
Bahrain;Asia;1997;73,92500;598561;20292,0167900
Bahrain;Asia;2002;74,79500;656397;23403,5592700
Bahrain;Asia;2007;75,63500;708573;29796,0483400
Bangladesh;Asia;1952;37,48400;46886859;684,2441716
Bangladesh;Asia;1957;39,34800;51365468;661,6374577
Bangladesh;Asia;1962;41,21600;56839289;686,3415538
Bangladesh;Asia;1967;43,45300;62821884;721,1860862
Bangladesh;Asia;1972;45,25200;70759295;630,2336265
Bangladesh;Asia;1977;46,92300;80428306;659,8772322
Bangladesh;Asia;1982;50,00900;93074406;676,9818656
Bangladesh;Asia;1987;52,81900;103764241;751,9794035
Bangladesh;Asia;1992;56,01800;113704579;837,8101643
Bangladesh;Asia;1997;59,41200;123315288;972,7700352
Bangladesh;Asia;2002;62,01300;135656790;1136,3904300
Bangladesh;Asia;2007;64,06200;150448339;1391,2537920
Barbados;Americas;1962;65,87000;228747;6204,4894680
Barbados;Americas;1967;67,62000;238224;7788,5440850
Barbados;Americas;1972;69,42000;242445;9853,8063740
Barbados;Americas;1977;71,27000;249169;11817,3559100
Barbados;Americas;1982;72,69500;253522;12736,4724700
Barbados;Americas;1987;74,02700;259428;13783,2089800
Barbados;Americas;1992;74,89400;264925;12263,4533100
Barbados;Americas;1997;74,91200;270096;13901,9089300
Barbados;Americas;2002;75,97000;275673;14544,4930500
Barbados;Americas;2007;77,29600;280946;17023,1023900
Belarus;FSU;1973;72,71000;9236465;4958,6081240
Belarus;FSU;1990;71,15000;10215208;6807,7810570
Belarus;FSU;1991;70,58000;10244639;6693,1884000
Belarus;FSU;1992;70,17000;10306362;6014,4060750
Belarus;FSU;1993;69,05000;10360516;5528,2633710
Belarus;FSU;1994;68,82000;10387841;4868,6159870
Belarus;FSU;1995;68,43000;10403989;4355,5092430
Belarus;FSU;1996;68,56000;10408773;4475,4056040
Belarus;FSU;1997;68,37000;10404210;4987,7883910
Belarus;FSU;1998;68,38000;10394407;5411,8617510
Belarus;FSU;1999;67,97000;10382370;5602,3527250
Belarus;FSU;2000;69,00000;10366719;5936,2378190
Belarus;FSU;2001;68,60000;10350194;6225,1641790
Belarus;FSU;2002;68,16000;10335382;6545,7899650
Belarus;FSU;2003;68,70000;10322151;6999,8646680
Belarus;FSU;2004;69,10000;10310520;7806,7244460
Belarus;FSU;2005;68,87000;10300483;8541,0000000
Belarus;FSU;2007;69,02700;10289007;10273,7741800
Belgium;Europe;1950;66,35000;8639369;7990,4658400
Belgium;Europe;1951;66,80000;8678386;8393,4159920
Belgium;Europe;1952;68,00000;8730405;8343,1051270
Belgium;Europe;1953;68,37000;8777873;8645,3722920
Belgium;Europe;1954;68,63000;8819380;8950,3067250
Belgium;Europe;1955;68,58000;8868475;9244,7254600
Belgium;Europe;1956;68,87000;8923845;9529,4035930
Belgium;Europe;1957;69,24000;8989111;9714,9606230
Belgium;Europe;1958;69,93000;9052707;9477,2735580
Belgium;Europe;1959;70,33000;9103729;9675,4676890
Belgium;Europe;1960;69,65000;9118700;10076,6024900
Belgium;Europe;1961;70,52000;9165800;10512,5111000
Belgium;Europe;1962;70,25000;9218400;10991,2067600
Belgium;Europe;1963;70,06000;9283100;11396,1283900
Belgium;Europe;1964;70,73000;9367000;12089,4094200
Belgium;Europe;1965;70,58000;9448100;12406,2880600
Belgium;Europe;1966;70,65000;9507800;12720,1770700
Belgium;Europe;1967;70,94000;9556500;13149,0411900
Belgium;Europe;1968;70,63000;9589800;13647,1960900
Belgium;Europe;1969;70,71000;9612700;14520,7422600
Belgium;Europe;1970;70,97000;9637800;15379,7052300
Belgium;Europe;1971;71,10000;9672500;15899,6595100
Belgium;Europe;1972;71,44000;9709100;16672,1435600
Belgium;Europe;1973;71,65000;9738400;17639,5814200
Belgium;Europe;1974;72,01000;9767800;18325,1694000
Belgium;Europe;1975;72,00000;9794800;18032,1155000
Belgium;Europe;1976;72,15000;9811000;19019,9446200
Belgium;Europe;1977;72,80000;9821800;19117,9744800
Belgium;Europe;1978;72,75000;9829700;19645,5378400
Belgium;Europe;1979;73,24000;9837200;20090,1204300
Belgium;Europe;1980;73,29000;9846800;20969,6231100
Belgium;Europe;1981;73,70000;9852400;20696,1337800
Belgium;Europe;1982;73,93000;9856303;20979,8458900
Belgium;Europe;1983;73,93000;9855520;20979,0125300
Belgium;Europe;1984;74,43000;9855300;21498,9380100
Belgium;Europe;1985;74,54000;9858200;21708,7454100
Belgium;Europe;1986;74,74000;9861800;22024,7530800
Belgium;Europe;1987;75,35000;9870200;22525,5630800
Belgium;Europe;1988;75,66000;9884000;23555,8201000
Belgium;Europe;1989;75,73000;9937697;24269,2318200
Belgium;Europe;1990;76,14000;9969310;24925,9100000
Belgium;Europe;1991;76,30000;10004487;25293,5713500
Belgium;Europe;1992;76,46000;10045622;25575,5706900
Belgium;Europe;1993;76,48000;10085426;25229,5983400
Belgium;Europe;1994;76,82000;10122914;25947,3029400
Belgium;Europe;1995;76,97000;10155459;26480,9473200
Belgium;Europe;1996;77,31000;10178934;26725,4983700
Belgium;Europe;1997;77,53000;10199787;27561,1966300
Belgium;Europe;1998;77,62000;10217030;28030,6131400
Belgium;Europe;1999;77,80000;10235655;28937,1514000
Belgium;Europe;2000;77,91000;10263618;29940,2047000
Belgium;Europe;2001;78,22000;10291679;30092,0761300
Belgium;Europe;2002;78,32000;10311970;30485,8837500
Belgium;Europe;2003;78,47000;10330824;30736,5256000
Belgium;Europe;2004;79,11000;10348276;31600,0169900
Belgium;Europe;2005;79,20000;10364388;32077,0000000
Belgium;Europe;2007;79,44100;10392226;33692,6050800
Belize;Americas;1950;57,67300;65797;1731,1327280
Belize;Americas;1962;62,67800;97594;1916,3196130
Belize;Americas;1967;65,18400;113265;2099,1585220
Belize;Americas;1972;67,58900;127661;2616,6965790
Belize;Americas;1977;69,74700;140578;3158,6880030
Belize;Americas;1982;71,03100;153277;3732,0949190
Belize;Americas;1987;71,87900;176347;3844,9318960
Belize;Americas;1992;72,52200;200798;5780,6890940
Belize;Americas;1997;74,40500;228884;5631,5010700
Belize;Americas;2002;75,58600;261138;6799,5419950
Belize;Americas;2007;76,12100;294385;7550,2255430
Benin;Africa;1952;38,22300;1738315;1062,7522000
Benin;Africa;1957;40,35800;1925173;959,6010805
Benin;Africa;1962;42,61800;2151895;949,4990641
Benin;Africa;1967;44,88500;2427334;1035,8314110
Benin;Africa;1972;47,01400;2761407;1085,7968790
Benin;Africa;1977;49,19000;3168267;1029,1612510
Benin;Africa;1982;50,90400;3641603;1277,8976160
Benin;Africa;1987;52,33700;4243788;1225,8560100
Benin;Africa;1992;53,91900;4981671;1191,2076810
Benin;Africa;1997;54,77700;6066080;1232,9752920
Benin;Africa;2002;54,40600;7026113;1372,8779310
Benin;Africa;2007;56,72800;8078314;1441,2848730
Bhutan;Asia;1972;41,83700;1087991;807,6225858
Bhutan;Asia;1977;44,70800;1205659;816,3101525
Bhutan;Asia;1982;47,87200;1333704;946,8129965
Bhutan;Asia;1987;50,71700;1490857;1494,2900850
Bhutan;Asia;1992;54,47100;1673428;1904,1794500
Bhutan;Asia;1997;58,92900;1876236;2561,5076590
Bhutan;Asia;2002;63,45800;2094176;3256,0192930
Bhutan;Asia;2007;65,62500;2327849;4744,6400190
Bolivia;Americas;1952;40,41400;2883315;2677,3263470
Bolivia;Americas;1957;41,89000;3211738;2127,6863260
Bolivia;Americas;1962;43,42800;3593918;2180,9725460
Bolivia;Americas;1967;45,03200;4040665;2586,8860530
Bolivia;Americas;1972;46,71400;4565872;2980,3313390
Bolivia;Americas;1977;50,02300;5079716;3548,0978320
Bolivia;Americas;1982;53,85900;5642224;3156,5104520
Bolivia;Americas;1987;57,25100;6156369;2753,6914900
Bolivia;Americas;1992;59,95700;6893451;2961,6996940
Bolivia;Americas;1997;62,05000;7693188;3326,1431910
Bolivia;Americas;2002;63,88300;8445134;3413,2626900
Bolivia;Americas;2007;65,55400;9119152;3822,1370840
Bosnia and Herzegovina;Europe;1952;53,82000;2791000;973,5331948
Bosnia and Herzegovina;Europe;1957;58,45000;3076000;1353,9891760
Bosnia and Herzegovina;Europe;1962;61,93000;3349000;1709,6836790
Bosnia and Herzegovina;Europe;1967;64,79000;3585000;2172,3524230
Bosnia and Herzegovina;Europe;1972;67,45000;3819000;2860,1697500
Bosnia and Herzegovina;Europe;1977;69,86000;4086000;3528,4813050
Bosnia and Herzegovina;Europe;1982;70,69000;4172693;4126,6131570
Bosnia and Herzegovina;Europe;1987;71,14000;4338977;4314,1147570
Bosnia and Herzegovina;Europe;1992;72,17800;4256013;2546,7814450
Bosnia and Herzegovina;Europe;1997;73,24400;3607000;4766,3559040
Bosnia and Herzegovina;Europe;2002;74,09000;4165416;6018,9752390
Bosnia and Herzegovina;Europe;2007;74,85200;4552198;7446,2988030
Botswana;Africa;1952;47,62200;442308;851,2411407
Botswana;Africa;1957;49,61800;474639;918,2325349
Botswana;Africa;1962;51,52000;512764;983,6539764
Botswana;Africa;1967;53,29800;553541;1214,7092940
Botswana;Africa;1972;56,02400;619351;2263,6111140
Botswana;Africa;1977;59,31900;781472;3214,8578180
Botswana;Africa;1982;61,48400;970347;4551,1421500
Botswana;Africa;1987;63,62200;1151184;6205,8838500
Botswana;Africa;1992;62,74500;1342614;7954,1116450
Botswana;Africa;1997;52,55600;1536536;8647,1423130
Botswana;Africa;2002;46,63400;1630347;11003,6050800
Botswana;Africa;2007;50,72800;1639131;12569,8517700
Brazil;Americas;1952;50,91700;56602560;2108,9443550
Brazil;Americas;1957;53,28500;65551171;2487,3659890
Brazil;Americas;1962;55,66500;76039390;3336,5858020
Brazil;Americas;1967;57,63200;88049823;3429,8643570
Brazil;Americas;1972;59,50400;100840058;4985,7114670
Brazil;Americas;1977;61,48900;114313951;6660,1186540
Brazil;Americas;1982;63,33600;128962939;7030,8358780
Brazil;Americas;1987;65,20500;142938076;7807,0958180
Brazil;Americas;1992;67,05700;155975974;6950,2830210
Brazil;Americas;1997;69,38800;168546719;7957,9808240
Brazil;Americas;2002;71,00600;179914212;8131,2128430
Brazil;Americas;2007;72,39000;190010647;9065,8008250
Brunei;Asia;1972;68,34000;141500;54117,1590600
Brunei;Asia;1977;69,66000;167216;72555,2285400
Brunei;Asia;1982;71,62000;199468;62407,2105700
Brunei;Asia;1987;73,20000;235357;53585,9035500
Brunei;Asia;1992;74,47100;273701;49174,4054300
Brunei;Asia;1997;75,46500;313563;48967,3126000
Brunei;Asia;2002;76,31500;350898;48906,3489400
Brunei;Asia;2007;77,11800;386511;48014,5876700
Bulgaria;Europe;1950;61,39000;7250500;2131,5631490
Bulgaria;Europe;1951;60,63000;7258200;2567,4245340
Bulgaria;Europe;1952;59,60000;7274900;2444,2866480
Bulgaria;Europe;1953;64,14000;7346100;2691,9350680
Bulgaria;Europe;1954;64,40000;7423300;2613,9831080
Bulgaria;Europe;1955;64,81000;7499400;2772,8943040
Bulgaria;Europe;1956;65,21000;7575800;2747,3779290
Bulgaria;Europe;1957;66,61000;7651254;3008,6707270
Bulgaria;Europe;1958;68,71000;7727553;3238,1089180
Bulgaria;Europe;1959;66,57000;7797777;3464,5696520
Bulgaria;Europe;1960;69,18000;7867374;3759,1655100
Bulgaria;Europe;1961;70,22000;7943118;3966,0932480
Bulgaria;Europe;1962;69,51000;8012946;4254,3378390
Bulgaria;Europe;1963;70,34000;8078145;4412,8103220
Bulgaria;Europe;1964;71,14000;8144339;4721,8639080
Bulgaria;Europe;1965;71,30000;8201400;4970,4880300
Bulgaria;Europe;1966;71,23000;8258057;5325,9534310
Bulgaria;Europe;1967;70,42000;8310226;5577,0028000
Bulgaria;Europe;1968;71,25000;8369603;5639,3467510
Bulgaria;Europe;1969;70,43000;8434172;5868,7826800
Bulgaria;Europe;1970;71,27000;8489574;6162,4685030
Bulgaria;Europe;1971;70,87000;8536395;6328,5042470
Bulgaria;Europe;1972;70,90000;8576200;6597,4943980
Bulgaria;Europe;1973;71,34000;8620997;6822,3852690
Bulgaria;Europe;1974;71,20000;8678745;6989,5715150
Bulgaria;Europe;1975;71,05000;8720742;7527,8631730
Bulgaria;Europe;1976;71,38000;8755037;7722,8711370
Bulgaria;Europe;1977;70,81000;8797022;7612,2404380
Bulgaria;Europe;1978;71,17000;8803281;7771,1180480
Bulgaria;Europe;1979;71,27000;8811589;8062,6007390
Bulgaria;Europe;1980;71,10000;8843528;7802,8457980
Bulgaria;Europe;1981;71,49000;8869441;7987,0152040
Bulgaria;Europe;1982;71,08000;8892098;8224,1916470
Bulgaria;Europe;1983;71,25000;8910284;8052,3725660
Bulgaria;Europe;1984;71,35000;8928271;8301,9796540
Bulgaria;Europe;1985;71,07000;8943573;8037,9500130
Bulgaria;Europe;1986;71,55000;8958770;8236,4616050
Bulgaria;Europe;1987;71,34000;8971958;8239,8548240
Bulgaria;Europe;1988;71,40000;8982025;8179,0105410
Bulgaria;Europe;1989;71,46000;8990055;8025,2660410
Bulgaria;Europe;1990;71,31000;8894028;7225,8779580
Bulgaria;Europe;1991;71,18000;8772368;6710,6987950
Bulgaria;Europe;1992;71,19000;8658506;6302,6234380
Bulgaria;Europe;1993;71,18000;8441872;6367,3949700
Bulgaria;Europe;1994;70,85000;8353335;6550,7108850
Bulgaria;Europe;1995;70,95000;8255811;6820,3076240
Bulgaria;Europe;1996;70,85000;8161026;6250,9660750
Bulgaria;Europe;1997;70,32000;8066057;5970,3887600
Bulgaria;Europe;1998;70,91000;7971774;6282,6412150
Bulgaria;Europe;1999;71,57000;7893227;6491,0996720
Bulgaria;Europe;2000;71,59000;7818495;6907,0137220
Bulgaria;Europe;2001;71,90000;7738416;7264,6072260
Bulgaria;Europe;2002;72,14000;7661799;7696,7777250
Bulgaria;Europe;2003;72,35000;7588399;8105,3887550
Bulgaria;Europe;2004;72,54000;7517973;8721,2280280
Bulgaria;Europe;2005;72,52000;7450349;9353,0000000
Bulgaria;Europe;2007;73,00500;7322858;10680,7928200
Burkina Faso;Africa;1952;31,97500;4469979;543,2552413
Burkina Faso;Africa;1957;34,90600;4713416;617,1834648
Burkina Faso;Africa;1962;37,81400;4919632;722,5120206
Burkina Faso;Africa;1967;40,69700;5127935;794,8265597
Burkina Faso;Africa;1972;43,59100;5433886;854,7359763
Burkina Faso;Africa;1977;46,13700;5889574;743,3870368
Burkina Faso;Africa;1982;48,12200;6634596;807,1985855
Burkina Faso;Africa;1987;49,55700;7586551;912,0631417
Burkina Faso;Africa;1992;50,26000;8878303;931,7527731
Burkina Faso;Africa;1997;50,32400;10352843;946,2949618
Burkina Faso;Africa;2002;50,65000;12251209;1037,6452210
Burkina Faso;Africa;2007;52,29500;14326203;1217,0329940
Burundi;Africa;1952;39,03100;2445618;339,2964587
Burundi;Africa;1957;40,53300;2667518;379,5646281
Burundi;Africa;1962;42,04500;2961915;355,2032273
Burundi;Africa;1967;43,54800;3330989;412,9775136
Burundi;Africa;1972;44,05700;3529983;464,0995039
Burundi;Africa;1977;45,91000;3834415;556,1032651
Burundi;Africa;1982;47,47100;4580410;559,6032310
Burundi;Africa;1987;48,21100;5126023;621,8188189
Burundi;Africa;1992;44,73600;5809236;631,6998778
Burundi;Africa;1997;45,32600;6121610;463,1151478
Burundi;Africa;2002;47,36000;7021078;446,4035126
Burundi;Africa;2007;49,58000;8390505;430,0706916
Cambodia;Asia;1952;39,41700;4693836;368,4692856
Cambodia;Asia;1957;41,36600;5322536;434,0383364
Cambodia;Asia;1962;43,41500;6083619;496,9136476
Cambodia;Asia;1967;45,41500;6960067;523,4323142
Cambodia;Asia;1972;40,31700;7450606;421,6240257
Cambodia;Asia;1977;31,22000;6978607;524,9721832
Cambodia;Asia;1982;50,95700;7272485;624,4754784
Cambodia;Asia;1987;53,91400;8371791;683,8955732
Cambodia;Asia;1992;55,80300;10150094;682,3031755
Cambodia;Asia;1997;56,53400;11782962;734,2851700
Cambodia;Asia;2002;56,75200;12926707;896,2260153
Cambodia;Asia;2007;59,72300;14131858;1713,7786860
Cameroon;Africa;1952;38,52300;5009067;1172,6676550
Cameroon;Africa;1957;40,42800;5359923;1313,0480990
Cameroon;Africa;1962;42,64300;5793633;1399,6074410
Cameroon;Africa;1967;44,79900;6335506;1508,4531480
Cameroon;Africa;1972;47,04900;7021028;1684,1465280
